judul berita,link berita,topik berita,waktu
"Papan Billboard di Pondok Indah Terbakar, Diduga Korsleting Listrik",https://megapolitan.kompas.com/read/2021/04/25/18445491/papan-billboard-di-pondok-indah-terbakar-diduga-korsleting-listrik,NEWS,"25/04/2021, 18:44 WIB"
KSAL: Kapal Selam KRI Nanggala-402 Terbelah Menjadi 3 Bagian ,https://nasional.kompas.com/read/2021/04/25/18443401/ksal-kapal-selam-kri-nanggala-402-terbelah-menjadi-3-bagian,NEWS,"25/04/2021, 18:44 WIB"
Riset: Harga Rumah Naik karena Permintaan Meningkat di Masa Pandemi,https://www.kompas.com/homey/read/2021/04/25/184312776/riset-harga-rumah-naik-karena-permintaan-meningkat-di-masa-pandemi,HOMEY,"25/04/2021, 18:43 WIB"
"Link Live Streaming Fiorentina Vs Juventus, Kick-off 20.00 WIB",https://bola.kompas.com/read/2021/04/25/18400008/link-live-streaming-fiorentina-vs-juventus-kick-off-20.00-wib,BOLA,"25/04/2021, 18:40 WIB"
"TNI Yakin Penyebab KRI Nanggala-402 Tenggelam karena Faktor Alam, Bukan Human Error",https://regional.kompas.com/read/2021/04/25/183932878/tni-yakin-penyebab-kri-nanggala-402-tenggelam-karena-faktor-alam-bukan,REGIONAL,"25/04/2021, 18:39 WIB"
Chen EXO Rayakan Ulang Tahun Pertama Putrinya,https://www.kompas.com/hype/read/2021/04/25/183526166/chen-exo-rayakan-ulang-tahun-pertama-putrinya,HYPE,"25/04/2021, 18:35 WIB"
Empat Kesalahan dalam Menyeduh Teh,https://www.kompas.com/tren/read/2021/04/25/183000065/empat-kesalahan-dalam-menyeduh-teh,TREN,"25/04/2021, 18:30 WIB"
5 Vitamin untuk Atasi Badan Lemas dan Menambah Energi,https://www.kompas.com/sains/read/2021/04/25/183000023/5-vitamin-untuk-atasi-badan-lemas-dan-menambah-energi,SAINS,"25/04/2021, 18:30 WIB"
Panglima TNI Paparkan Bukti Otentik Tenggelam dan Gugurnya Awak KRI Nanggala-403,https://nasional.kompas.com/read/2021/04/25/18272621/panglima-tni-paparkan-bukti-otentik-tenggelam-dan-gugurnya-awak-kri-nanggala,NEWS,"25/04/2021, 18:27 WIB"
SKB 3 Menteri: Ini 6 Ketentuan Penggunaan Seragam dan Atribut Sekolah,https://www.kompas.com/edu/read/2021/04/25/182701771/skb-3-menteri-ini-6-ketentuan-penggunaan-seragam-dan-atribut-sekolah,EDUKASI,"25/04/2021, 18:27 WIB"
53 Awak KRI Nanggala-402 Dipastikan Gugur Berdasarkan Temuan Bagian Kapal,https://regional.kompas.com/read/2021/04/25/182448178/53-awak-kri-nanggala-402-dipastikan-gugur-berdasarkan-temuan-bagian-kapal,REGIONAL,"25/04/2021, 18:24 WIB"
Jenis-jenis Ban MotoGP dan Keunggulannya,https://www.kompas.com/sports/read/2021/04/25/18200008/jenis-jenis-ban-motogp-dan-keunggulannya,BOLA,"25/04/2021, 18:20 WIB"
"9 Negara yang Batasi Penerbangan dari India, Ada Indonesia",https://travel.kompas.com/read/2021/04/25/181600327/9-negara-yang-batasi-penerbangan-dari-india-ada-indonesia,TRAVEL,"25/04/2021, 18:16 WIB"
"""Saya Bilang ke Polisi kalau Bicara Jangan Kasar Sama Warga, tapi Saya Langsung Ditangkap""",https://regional.kompas.com/read/2021/04/25/181518478/saya-bilang-ke-polisi-kalau-bicara-jangan-kasar-sama-warga-tapi-saya,REGIONAL,"25/04/2021, 18:15 WIB"
"Selenggarakan Bubos Kelima Kalinya, Pemprov Jabar Berbagi Makanan kepada 680.000 Warga",https://regional.kompas.com/read/2021/04/25/18150071/selenggarakan-bubos-kelima-kalinya-pemprov-jabar-berbagi-makanan-kepada,NEWS,"25/04/2021, 18:15 WIB"
